after_stage,rank,rider,cumulative_s,gap_s,stages_completed,status
2,62,A. SKAARSETH,15267,759,2,DERIVED_REPRODUCIBLE
2,63,M. MATTHEWS,15276,768,2,DERIVED_REPRODUCIBLE
2,64,L. VERVAEKE,15284,776,2,DERIVED_REPRODUCIBLE
2,65,S. BERWICK,15294,786,2,DERIVED_REPRODUCIBLE
2,66,M. VAN GILS,15298,790,2,DERIVED_REPRODUCIBLE
2,67,D. VAN BAARLE,15300,792,2,DERIVED_REPRODUCIBLE
2,68,R. PLUIMERS,15301,793,2,DERIVED_REPRODUCIBLE
2,69,J. TARLING,15308,800,2,DERIVED_REPRODUCIBLE
2,70,N. PRODHOMME,15317,809,2,DERIVED_REPRODUCIBLE
2,71,G. ZIMMERMANN,15322,814,2,DERIVED_REPRODUCIBLE
2,72,L. CRAPS,15324,816,2,DERIVED_REPRODUCIBLE
2,73,Q. PACHER,15330,822,2,DERIVED_REPRODUCIBLE
2,74,N. OLIVEIRA,15330,822,2,DERIVED_REPRODUCIBLE
2,75,N. BREUILLARD,15331,823,2,DERIVED_REPRODUCIBLE
2,76,M. VERCHER,15331,823,2,DERIVED_REPRODUCIBLE
2,77,C. HARPER,15337,829,2,DERIVED_REPRODUCIBLE
2,78,P. EENKHOORN,15342,834,2,DERIVED_REPRODUCIBLE
2,79,M. KWIATKOWSKI,15354,846,2,DERIVED_REPRODUCIBLE
2,80,A. PARET PEINTRE,15358,850,2,DERIVED_REPRODUCIBLE
2,81,M. LE BERRE,15362,854,2,DERIVED_REPRODUCIBLE
2,82,D. CARUSO,15366,858,2,DERIVED_REPRODUCIBLE
2,83,M. FRIGO,15368,860,2,DERIVED_REPRODUCIBLE
2,84,B. THOMAS,15369,861,2,DERIVED_REPRODUCIBLE
2,85,E. COSTIOU,15369,861,2,DERIVED_REPRODUCIBLE
2,86,L. GERMANI,15369,861,2,DERIVED_REPRODUCIBLE
2,87,J. BERCKMOES,15374,866,2,DERIVED_REPRODUCIBLE
2,88,X. MEURISSE,15384,876,2,DERIVED_REPRODUCIBLE
2,89,A. DELETTRE,15395,887,2,DERIVED_REPRODUCIBLE
2,90,F. GANNA,15399,891,2,DERIVED_REPRODUCIBLE
2,91,M. HEßMANN,15400,892,2,DERIVED_REPRODUCIBLE
2,92,V. PARET PEINTRE,15402,894,2,DERIVED_REPRODUCIBLE
2,93,F. GROSSSCHARTNER,15410,902,2,DERIVED_REPRODUCIBLE
2,94,A. MOLENAAR,15416,908,2,DERIVED_REPRODUCIBLE
2,95,T. WELLENS,15418,910,2,DERIVED_REPRODUCIBLE
2,96,M. CATTANEO,15420,912,2,DERIVED_REPRODUCIBLE
2,97,K. ASGREEN,15427,919,2,DERIVED_REPRODUCIBLE
2,98,R. STANNARD,15429,921,2,DERIVED_REPRODUCIBLE
2,99,C. RUSSO,15431,923,2,DERIVED_REPRODUCIBLE
2,100,P. CASTRILLO,15432,924,2,DERIVED_REPRODUCIBLE
2,101,J. CEPEDA,15432,924,2,DERIVED_REPRODUCIBLE
2,102,N. MÄRKL,15432,924,2,DERIVED_REPRODUCIBLE
2,103,B. HEALY,15435,927,2,DERIVED_REPRODUCIBLE
2,104,J. NICOLAU,15437,929,2,DERIVED_REPRODUCIBLE
2,105,V. CAMPENAERTS,15444,936,2,DERIVED_REPRODUCIBLE
2,106,D. GODON,15451,943,2,DERIVED_REPRODUCIBLE
2,107,L. ASKEY,15452,944,2,DERIVED_REPRODUCIBLE
2,108,M. TEUNISSEN,15460,952,2,DERIVED_REPRODUCIBLE
2,109,L. DURBRIDGE,15465,957,2,DERIVED_REPRODUCIBLE
2,110,T. GUERNALEC,15466,958,2,DERIVED_REPRODUCIBLE
2,111,M. WALKER,15467,959,2,DERIVED_REPRODUCIBLE
2,112,J. STUYVEN,15487,979,2,DERIVED_REPRODUCIBLE
2,113,F. VAN DEN BROEK,15497,989,2,DERIVED_REPRODUCIBLE
2,114,C. VERONA,15498,990,2,DERIVED_REPRODUCIBLE
2,115,A. KIRSCH,15502,994,2,DERIVED_REPRODUCIBLE
2,116,P. BITTNER,15506,998,2,DERIVED_REPRODUCIBLE
2,117,F. BIESTERBOS,15506,998,2,DERIVED_REPRODUCIBLE
2,118,J. DEGENKOLB,15506,998,2,DERIVED_REPRODUCIBLE
2,119,W. BARGUIL,15506,998,2,DERIVED_REPRODUCIBLE
2,120,T. MARSMAN,15511,1003,2,DERIVED_REPRODUCIBLE
2,121,M. KANTER,15511,1003,2,DERIVED_REPRODUCIBLE
2,122,A. GATE,15513,1005,2,DERIVED_REPRODUCIBLE
2,123,A. CHARMIG,15513,1005,2,DERIVED_REPRODUCIBLE
2,124,E. PLANCKAERT,15513,1005,2,DERIVED_REPRODUCIBLE
2,125,T. VAN ASBROECK,15515,1007,2,DERIVED_REPRODUCIBLE
2,126,K. NEILANDS,15515,1007,2,DERIVED_REPRODUCIBLE
2,127,D. HOWSON,15522,1014,2,DERIVED_REPRODUCIBLE
2,128,E. RUBIO,15526,1018,2,DERIVED_REPRODUCIBLE
2,129,M. STORER,15528,1020,2,DERIVED_REPRODUCIBLE
2,130,J. VAN DEN BERG,15529,1021,2,DERIVED_REPRODUCIBLE
2,131,F. VERMEERSCH,15529,1021,2,DERIVED_REPRODUCIBLE
2,132,X. AZPARREN IRURZUN,15531,1023,2,DERIVED_REPRODUCIBLE
2,133,B. GIRMAY,15534,1026,2,DERIVED_REPRODUCIBLE
2,134,S. OLDANI,15539,1031,2,DERIVED_REPRODUCIBLE
2,135,J. RICKAERT,15544,1036,2,DERIVED_REPRODUCIBLE
2,136,M. VALGREN,15552,1044,2,DERIVED_REPRODUCIBLE
2,137,M. LOUVEL,15556,1048,2,DERIVED_REPRODUCIBLE
2,138,J. ABRAHAMSEN,15556,1048,2,DERIVED_REPRODUCIBLE
2,139,J. STEWART,15560,1052,2,DERIVED_REPRODUCIBLE
2,140,V. VAN MECHELEN,15561,1053,2,DERIVED_REPRODUCIBLE
2,141,A. TURGIS,15564,1056,2,DERIVED_REPRODUCIBLE
2,142,F. GAVIRIA,15566,1058,2,DERIVED_REPRODUCIBLE
2,143,A. DE KLEIJN,15569,1061,2,DERIVED_REPRODUCIBLE
2,144,F. WRIGHT,15570,1062,2,DERIVED_REPRODUCIBLE
2,145,H. PAGE,15571,1063,2,DERIVED_REPRODUCIBLE
2,146,J. BIERMANS,15571,1063,2,DERIVED_REPRODUCIBLE
2,147,J. OTRUBA,15573,1065,2,DERIVED_REPRODUCIBLE
2,148,D. HOOLE,15573,1065,2,DERIVED_REPRODUCIBLE
2,149,M. CORT NIELSEN,15575,1067,2,DERIVED_REPRODUCIBLE
2,150,T. SKUJINS,15577,1069,2,DERIVED_REPRODUCIBLE
2,151,M. MOHORIC,15580,1072,2,DERIVED_REPRODUCIBLE
2,152,N. POLITT,15588,1080,2,DERIVED_REPRODUCIBLE
2,153,B. VAN MOER,15588,1080,2,DERIVED_REPRODUCIBLE
2,154,J. TRATNIK,15590,1082,2,DERIVED_REPRODUCIBLE
2,155,F. ENGELHARDT,15594,1086,2,DERIVED_REPRODUCIBLE
2,156,M. PEDERSEN,15606,1098,2,DERIVED_REPRODUCIBLE
2,157,M. FRETIN,15606,1098,2,DERIVED_REPRODUCIBLE
2,158,Q. SIMMONS,15607,1099,2,DERIVED_REPRODUCIBLE
2,159,T. MERLIER,15610,1102,2,DERIVED_REPRODUCIBLE
2,160,N. VINOKUROV,15615,1107,2,DERIVED_REPRODUCIBLE
2,161,P. BAUHAUS,15621,1113,2,DERIVED_REPRODUCIBLE
2,162,K. GRADEK,15621,1113,2,DERIVED_REPRODUCIBLE
2,163,S. DILLIER,15628,1120,2,DERIVED_REPRODUCIBLE
2,164,J. PHILIPSEN,15628,1120,2,DERIVED_REPRODUCIBLE
2,165,N. DENZ,15634,1126,2,DERIVED_REPRODUCIBLE
2,166,P. ACKERMANN,15635,1127,2,DERIVED_REPRODUCIBLE
2,167,T. VAN DIJKE,15638,1130,2,DERIVED_REPRODUCIBLE
2,168,H. ARTZ,15646,1138,2,DERIVED_REPRODUCIBLE
2,169,S. WAERENSKJOLD,15669,1161,2,DERIVED_REPRODUCIBLE
2,170,P. HAGENES,15673,1165,2,DERIVED_REPRODUCIBLE
2,171,P. ALLEGAERT,15677,1169,2,DERIVED_REPRODUCIBLE
2,172,B. VAN LERBERGHE,15688,1180,2,DERIVED_REPRODUCIBLE
2,173,S. VELASCO,15702,1194,2,DERIVED_REPRODUCIBLE
2,174,D. BALLERINI,15738,1230,2,DERIVED_REPRODUCIBLE
2,175,M. TRENTIN,15743,1235,2,DERIVED_REPRODUCIBLE
2,176,L. SLOCK,15749,1241,2,DERIVED_REPRODUCIBLE
2,177,E. AFFINI,15778,1270,2,DERIVED_REPRODUCIBLE
2,178,M. HALLER,15782,1274,2,DERIVED_REPRODUCIBLE
2,179,O. KOOIJ,15848,1340,2,DERIVED_REPRODUCIBLE
2,180,K. O’BRIEN,15850,1342,2,DERIVED_REPRODUCIBLE
2,181,B. VEISTROFFER,15861,1353,2,DERIVED_REPRODUCIBLE
2,182,A. DE LIE,15862,1354,2,DERIVED_REPRODUCIBLE
2,183,C. BOL,15867,1359,2,DERIVED_REPRODUCIBLE
