stage_number,kind,category,label,km_from_start,lon,lat,altitude_m,climb_length_km,avg_gradient_pct,final_straight_m,road_width_m,offset_source,status,description
11,SUMMIT,4,Catégorie 4,32.923,3.284090000000049,46.352970000000084,300,1.10,5.80,,,aso-arcgis,NORMALIZED_FACT,"Sommet de côte : sur la D2009, au niveau de la fin du petit renfoncement à droite, 5m avant le panneau carré bleu à droite, 70 m environ après le carrefour avec la route à droite menant au lieu-dit Billonnière. Côte de 4ème catégorie. Altitude : 300 m. Distance : 1,1 km. Pente : 5,8 %."
11,SUMMIT,4,Catégorie 4,123.455,3.43743223000007,47.00464427500003,360,1.50,5.00,,,aso-arcgis,NORMALIZED_FACT,"Sommet de côte : sur la D978 (voie de droite), au niveau de la borne kilométrique n°22 à droite. Côte de 4ème catégorie. Altitude : 360 m. Distance : 1,5 km. Pente : 5 %."
11,FINISH,,Arrivée,161.300,3.181266565000044,46.98281956900007,,,,,6.00,aso-arcgis,NORMALIZED_FACT,"Arrivée : rue de l’Amiral Jacquinot, à l'extrémité d'une ligne droite finale de 1 km (dont 500 m à vue). Largeur chaussée : 6 m,"
12,START_REAL,,Départ réel,0.000,3.164260001000059,46.858310000000074,,,,,,aso-arcgis,NORMALIZED_FACT,"Départ réel : sur la D58, à hauteur des panneaux de signalisation (""virages dangereux"" et ""fin de limitation à 70 km/h"") à droite et des panneaux de signalisation à gauche en sens inverse."
12,START_CEREMONIAL,,Départ fictif,0.069,3.163734333000093,46.86408669800005,,,,,,aso-arcgis,NORMALIZED_FACT,Départ fictif
12,SPRINT,,Sprint,46.089,3.4810538070000803,46.82816186200006,,,,,,aso-arcgis,NORMALIZED_FACT,"Sprint : sur l'avenue de Verdun, D981, à hauteur des places de stationnement à droite et du début de la maison n°168 à gauche (moyens techniques du côté droit) (laisser un accès de secours au niveau du portail vert de l'entreprise à droite suivant le sprint)."
12,SUMMIT,4,Catégorie 4,76.743,3.831689999000048,46.80908000000005,308,2.10,4.00,,,aso-arcgis,NORMALIZED_FACT,"Sommet de côte : sur la D981, au niveau de l'intersection avec la rue du Charnay à droite. Côte de 4ème catégorie. Altitude : 308 m. Distance : 2,1 km. Pente : 4 %."
12,SUMMIT,4,Catégorie 4,97.936,4.046721873000081,46.745706581000036,398,2.50,4.50,,,aso-arcgis,NORMALIZED_FACT,"Sommet de côte : sur la D985, au niveau du chemin en terre à droite et l'entrée de champ (barrière métallique) à gauche. Côte de 4ème catégorie. Altitude : 398 m. Distance : 2,5 km. Pente : 4,5 %."
12,SUMMIT,4,Catégorie 4,159.484,4.664960000000065,46.71516000000008,391,2.70,4.30,,,aso-arcgis,NORMALIZED_FACT,"Sommet de côte : sur la D977, au niveau de l'intersection avec la petite route à droite et le chemin à gauche. Côte de 4ème catégorie. Altitude : 391 m. Distance : 2,7 km. Pente : 4,3 %."
12,FINISH,,Arrivée,179.100,4.850817803000041,46.77802369600005,,,,,6.00,aso-arcgis,NORMALIZED_FACT,"Arrivée : quai Saint-Cosme, à l'extrémité d'une ligne droite finale de 1,6 km (dont 500 m à vue). Largeur chaussée : 6 m,"
13,START_CEREMONIAL,,Départ fictif,,5.49652541800009,47.08977429200007,,,,,,,NORMALIZED_FACT,Départ fictif
13,START_REAL,,Départ réel,0.000,5.5458150000000614,47.097525000000076,,,,,,aso-arcgis,NORMALIZED_FACT,"Départ réel : sur la D244, à hauteur du panneau ""Privé"" à gauche suivant le carrefour D229-D244."
13,SPRINT,,Sprint,137.857,6.575080000000071,47.75243000000006,,,,,,aso-arcgis,NORMALIZED_FACT,"Sprint : route de Lure, D486, juste avant la petite rue à droite (résidence Le Courbaudot) précédant la Gendarmerie, à hauteur du cabinet médical désaffecté (rampe métallique grise) à droite (moyens techniques du côté droit)."
13,SUMMIT,3,Catégorie 3,157.464,6.746750001000066,47.85919000000007,678,5.20,4.80,,,aso-arcgis,NORMALIZED_FACT,"Sommet de col : sur la D486, à hauteur du panneau ""Col des Croix altitude 678 m"" à droite. Côte de 3ème catégorie. Altitude : 678 m. Distance : 5,2 km. Pente : 4,8 %."
13,SUMMIT,1,Catégorie 1,175.873,6.834830000000068,47.82042000000007,1173,8.80,6.90,,,aso-arcgis,NORMALIZED_FACT,"Sommet de col : sur la D465, à hauteur de l'entrée du parking à droite suivant la Maison du Tourisme. Col de 1ère catégorie. Altitude : 1173 m. Distance : 8,8 km. Pente : 6,9 %."
13,FINISH,,Arrivée,205.800,6.853985394000063,47.64130673200003,,,,420,6.00,aso-arcgis,NORMALIZED_FACT,"Arrivée : boulevard du Maréchal Joffre, à l'extrémité d'une ligne droite finale de 420 m (dont 280 m à vue). Largeur chaussée : 6 m,"
14,START_CEREMONIAL,,Départ fictif,,7.319272814000044,47.739950803000056,,,,,,,NORMALIZED_FACT,Départ fictif : rue de l'Illberg.
14,START_REAL,,Départ réel,0.000,7.30488500000007,47.82063000000005,,,,,,cyclingstage.com,NORMALIZED_FACT,"Départ réel : sur la D429, rue de Soultz, à hauteur du grand panneau de signalisation en sens inverse à gauche, suivant la borne kilométrique n°48 à droite."
14,SPRINT,,Sprint,12.447,7.191819999000074,47.83714000000003,,,,,,cyclingstage.com,NORMALIZED_FACT,"Sprint : sur la D505, à hauteur du chemin du Lerchenbourg à gauche (panneau ""Eleveur-Sélectionneur..."" en sens inverse en contre-bas) (moyens techniques sur la gauche de la chaussée)."
14,SUMMIT,1,Catégorie 1,36.494,7.103270000000066,47.90370416700006,1336,21.60,4.70,,,cyclingstage.com,NORMALIZED_FACT,"Sommet de col : sur la D431, à hauteur du panneau de sommet de col sur la droite de la chaussée. Col de 1ère catégorie. Altitude : 1336 m. Distance : 21,6 km. Pente : 4,7 %."
14,SUMMIT,2,Catégorie 2,71.345,6.890850000000057,47.91564000000005,959,9.80,4.70,,,cyclingstage.com,NORMALIZED_FACT,"Sommet de col : sur le col du Page, à hauteur du chemin à gauche, 5 m avant la stèle à gauche. Col de 2ème catégorie. Altitude : 959 m. Distance : 9,8 km. Pente : 4,7 %."
14,SUMMIT,1,Catégorie 1,94.518,6.834830000000068,47.82042000000007,1173,8.90,6.90,,,cyclingstage.com,NORMALIZED_FACT,"Sommet de col : sur la D460, à hauteur de l'entrée du parking à droite suivant la Maison du Tourisme. Col de 1ère catégorie. Altitude : 1173 m. Distance : 8,9 km. Pente : 6,9 %."
14,SUMMIT,1,Catégorie 1,149.669,7.090185326000039,47.904963261000034,1233,11.20,7.30,,,cyclingstage.com,NORMALIZED_FACT,"Sommet de col : à hauteur de la ferme du Haag à gauche, 30 m avant le carrefour avec la D431. Col de 1ère catégorie. Altitude : 1233 m. Distance : 11,2 km. Pente : 7,3 %."
14,FINISH,,Arrivée,155.300,7.029633815000068,47.92332539500006,,,,170,6.00,cyclingstage.com,NORMALIZED_FACT,"Arrivée : D27, à l'extrémité d'une ligne droite finale de 170 m à vue. Largeur chaussée : 6 m,"
15,START_CEREMONIAL,,Départ fictif,,5.908321126000089,46.74533588300005,,,,,,,NORMALIZED_FACT,Départ fictif : avenue de la République.
15,START_REAL,,Départ réel,0.000,5.925760000000082,46.715190000000064,,,,,,aso-arcgis,NORMALIZED_FACT,"Départ réel : sur la N5, à hauteur du panneau bordeaux ""Auberge des Gourmets"" à droite suivant la sortie de l'aire de repos à gauche."
15,SPRINT,,Sprint,17.565,5.953381124000089,46.57706692800008,,,,,,aso-arcgis,NORMALIZED_FACT,"Sprint : sur la rue de Paris, à hauteur du n°8 à gauche, juste avant le monument aux Morts à droite (moyens techniques du côté droit)."
15,SUMMIT,3,Catégorie 3,37.018,6.056370000000072,46.48559000000006,1097,6.60,5.10,,,aso-arcgis,NORMALIZED_FACT,"Sommet de côte : sur la N5, à hauteur des panneaux directionnels superposés à droite (""Genève"" en vert, ""Gex"",...) juste avant la maison au pan de mur rouge à gauche. Côte de 3ème catégorie. Altitude : 1097 m. Distance : 6,6 km. Pente : 5,1 %."
15,SUMMIT,1,Catégorie 1,136.061,6.171380000000056,46.11968500000006,1175,4.70,11.20,,,aso-arcgis,NORMALIZED_FACT,"Sommet de col : sur la D45, à hauteur de la boîte-aux-lettres de La Poste à gauche juste avant le carrefour D45-D41 A. Col de 1ère catégorie. Altitude : 1175 m. Distance : 4,7 km. Pente : 11,2 %."
