stage_number,km_from_start,lon,lat,dem_count,elevation_min_m,elevation_max_m,elevation_mean_m,spread_m,sources
3,24.0000,2.1792143464539317,41.72618769606382,1,664.00,664.00,664.00,0.00,COPERNICUS_GLO90
3,24.2000,2.1798166966374772,41.724759612979184,1,658.00,658.00,658.00,0.00,COPERNICUS_GLO90
3,24.4000,2.1812101320527595,41.72590013205276,1,692.00,692.00,692.00,0.00,COPERNICUS_GLO90
3,24.6000,2.182657503451778,41.72726900138071,1,696.00,696.00,696.00,0.00,COPERNICUS_GLO90
3,24.8000,2.183325445416006,41.72849402235433,1,676.00,676.00,676.00,0.00,COPERNICUS_GLO90
3,25.0000,2.1825716575317005,41.7300449725951,1,685.00,685.00,685.00,0.00,COPERNICUS_GLO90
3,25.2000,2.1823570914577117,41.73176988006799,1,705.00,705.00,705.00,0.00,COPERNICUS_GLO90
3,25.4000,2.1837278739010633,41.733200067330074,1,699.00,699.00,699.00,0.00,COPERNICUS_GLO90
3,25.6000,2.1847937185852713,41.734811088194334,1,717.00,717.00,717.00,0.00,COPERNICUS_GLO90
3,25.8000,2.1850369368300675,41.736516936830064,1,713.00,713.00,713.00,0.00,COPERNICUS_GLO90
3,26.0000,2.1869153444811205,41.73754068896224,1,747.00,747.00,747.00,0.00,COPERNICUS_GLO90
3,26.2000,2.188729912295704,41.73862581657619,1,733.00,733.00,733.00,0.00,COPERNICUS_GLO90
3,26.4000,2.1890786524856587,41.74032033633259,1,737.00,737.00,737.00,0.00,COPERNICUS_GLO90
3,26.6000,2.1899861895730055,41.74184618957301,1,743.00,743.00,743.00,0.00,COPERNICUS_GLO90
3,26.8000,2.191334709815306,41.74308067283076,1,722.00,722.00,722.00,0.00,COPERNICUS_GLO90
3,27.0000,2.1927267048496373,41.7444462259318,1,723.00,723.00,723.00,0.00,COPERNICUS_GLO90
3,27.2000,2.193824054029568,41.74598812650427,1,726.00,726.00,726.00,0.00,COPERNICUS_GLO90
3,27.4000,2.195280028838874,41.74719667627963,1,719.00,719.00,719.00,0.00,COPERNICUS_GLO90
3,27.6000,2.196494599534447,41.74590506454004,1,715.00,715.00,715.00,0.00,COPERNICUS_GLO90
3,27.8000,2.1983047784592564,41.745196302999254,1,722.00,722.00,722.00,0.00,COPERNICUS_GLO90
3,28.0000,2.1996008896154295,41.74433627128203,1,721.00,721.00,721.00,0.00,COPERNICUS_GLO90
3,28.2000,2.2019921435805965,41.74432239136327,1,751.00,751.00,751.00,0.00,COPERNICUS_GLO90
3,28.4000,2.203943230061426,41.745173230061425,1,755.00,755.00,755.00,0.00,COPERNICUS_GLO90
3,28.6000,2.2053909552140043,41.74661141217775,1,742.00,742.00,742.00,0.00,COPERNICUS_GLO90
3,28.8000,2.206839760090383,41.748049008884884,1,743.00,743.00,743.00,0.00,COPERNICUS_GLO90
3,29.0000,2.208288522475241,41.74948664764663,1,754.00,754.00,754.00,0.00,COPERNICUS_GLO90
3,29.2000,2.209735372808231,41.75092537280823,1,752.00,752.00,752.00,0.00,COPERNICUS_GLO90
3,29.4000,2.2106263197034672,41.752512081779194,1,764.00,764.00,764.00,0.00,COPERNICUS_GLO90
3,29.6000,2.210315377605579,41.75429552808008,1,764.00,764.00,764.00,0.00,COPERNICUS_GLO90
3,29.8000,2.209595781533665,41.75600843693267,1,754.00,754.00,754.00,0.00,COPERNICUS_GLO90
3,30.0000,2.209090097581059,41.75775907995001,1,755.00,755.00,755.00,0.00,COPERNICUS_GLO90
3,30.2000,2.208779506935348,41.75951542371117,1,743.00,743.00,743.00,0.00,COPERNICUS_GLO90
